"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.884766500E0,-1.366404762E-2,-7.216925919E-4,-1.951625168E0
2.894748500E0,2.872539707E-2,-7.127478138E-2,-1.025927315E0
2.904729500E0,1.323583958E-2,-1.292341371E-1,-2.048326421E-1
2.914711500E0,-2.671448478E-2,-1.689474025E-1,5.736773443E-1
2.924693500E0,-4.235067034E-2,-1.939802098E-1,1.441897652E0
2.934675500E0,4.120843504E-3,-2.233142290E-1,2.347917286E0
2.944657500E0,5.073607095E-2,-2.289681941E-1,3.109647517E0
2.954639500E0,3.137460602E-2,-2.252838635E-1,3.708333403E0
2.964621500E0,-2.865150288E-2,-2.093738821E-1,4.118895650E0
2.974603500E0,-4.024945512E-2,-2.147805101E-1,4.453416027E0
2.984585500E0,1.919407010E-2,-2.391616452E-1,4.708809543E0
2.994567500E0,6.367842598E-2,-2.681097481E-1,4.793684801E0
3.004548500E0,5.482734947E-2,-3.084453034E-1,4.642826638E0
3.014530500E0,-1.213260703E-3,-3.494854483E-1,4.277940500E0
3.024512500E0,-4.162102919E-2,-3.891342482E-1,3.800555688E0
3.034494500E0,-4.692774285E-3,-4.453031865E-1,3.262829365E0
3.044476500E0,5.600879766E-2,-4.840038604E-1,2.644131968E0
3.054458500E0,4.232644094E-2,-5.041736846E-1,1.886433976E0
3.064440500E0,-2.807002469E-2,-4.990452379E-1,9.798834157E-1
3.074422500E0,-4.552941777E-2,-4.766406079E-1,5.304710984E-2
3.084404500E0,-1.493102962E-2,-4.192418540E-1,-7.390120447E-1
3.094385500E0,1.477619718E-2,-3.430245674E-1,-1.479007591E0
3.104367500E0,-9.829059877E-3,-2.511788428E-1,-2.262628044E0
3.114349500E0,-3.970084925E-2,-1.447849533E-1,-3.028470622E0
3.124331500E0,-4.655894799E-2,-2.537033781E-2,-3.650926609E0
3.134313500E0,-2.056674509E-2,7.348064348E-2,-4.054254681E0
3.144295500E0,-1.494775357E-2,1.595126277E-1,-4.315914073E0
3.154277500E0,-3.345973683E-2,2.284337586E-1,-4.536871582E0
3.164259500E0,-4.571531354E-2,2.784768614E-1,-4.678093534E0
3.174241500E0,-3.525445288E-2,2.828311367E-1,-4.573351191E0
